Restaurant_Name,Link
Alam Grilled Wrap,https://www.swiggy.com/restaurants/alam-grilled-wrap-r-s-puram-r-s-puram-west-coimbatore-86031
ALAM Grilled Wraps,https://www.swiggy.com/restaurants/alam-grilled-wraps-ganapathy-ganapathypudur-coimbatore-52247
Alam Grilled Wraps,https://www.swiggy.com/restaurants/alam-grilled-wraps-peelamedu-b-r-puram-industrial-estate-coimbatore-60373
Alam Grilled Wraps,https://www.swiggy.com/restaurants/alam-grilled-wraps-thudiyalur-road-saravanampatti-coimbatore-128076
AL CHICK BAIK,https://www.swiggy.com/restaurants/al-chick-baik-r-s-puram-karumbukkadai-coimbatore-345515
Alif Paradise Biriyani,https://www.swiggy.com/restaurants/alif-paradise-biriyani-peelamedu-stv-nagar-coimbatore-322145
Aligarh House Biryani,https://www.swiggy.com/restaurants/aligarh-house-biryani-srp-nagar-ii-saibaba-colony-coimbatore-440607
Aligarh House Biryani,https://www.swiggy.com/restaurants/aligarh-house-biryani-thanneerpandal-main-road-peelamedu-coimbatore-413577
Aligarh House,https://www.swiggy.com/restaurants/aligarh-house-race-course-road-gopalapuram-coimbatore-350156
All Seasons Veg Delicacies,https://www.swiggy.com/restaurants/all-seasons-veg-delicacies-sai-baba-colony-kuppakonam-pudur-coimbatore-61496
AL MAAS BIRIYANI HOUSE,https://www.swiggy.com/restaurants/al-maas-biriyani-house-ramanathapuram-puliakulam-coimbatore-308180
AM Biriyani world,https://www.swiggy.com/restaurants/am-biriyani-world-peelamedu-coimbatore-411174
Ambur Star Biriyani,https://www.swiggy.com/restaurants/ambur-star-biriyani-hopes-madhusudhan-layout-coimbatore-64236
Ambur Star Biriyani,https://www.swiggy.com/restaurants/ambur-star-biriyani-r-s-puram-r-s-puram-west-coimbatore-64235
AMC Parotta Kadai,https://www.swiggy.com/restaurants/amc-parotta-kadai-sai-baba-colony-coimbatore-407075
Ammaiyappa,https://www.swiggy.com/restaurants/ammaiyappa-saravanampatti-coimbatore-63227
"AMMAN FAST	FOOD",https://www.swiggy.com/restaurants/amman-fast-food-hopes-karuparampalayam-pirvu-coimbatore-296823
Amma samayal,https://www.swiggy.com/restaurants/amma-samayal-sai-baba-colony-coimbatore-406021
Amma's Pastries,https://www.swiggy.com/restaurants/ammas-pastries-coi-ganapathy-coimbatore-385370
Amma's Pastries,https://www.swiggy.com/restaurants/ammas-pastries-gandhipuram-coimbatore-385353
Amma's Pastries,https://www.swiggy.com/restaurants/ammas-pastries-sai-baba-colony-coimbatore-385348
Amma's Pastries,https://www.swiggy.com/restaurants/ammas-pastries-tv-samy-road-r-s-puram-west-coimbatore-149531
Ammayi Veedu Pot Cook,https://www.swiggy.com/restaurants/ammayi-veedu-pot-cook-gandhipuram-g-k-d-nagar-coimbatore-50162
Ammayi Veedu Pot Cook,https://www.swiggy.com/restaurants/ammayi-veedu-pot-cook-ramanathapuram-krishna-colony-coimbatore-123011
Amminis,https://www.swiggy.com/restaurants/amminis-nehru-nagar-nehru-nagar-west-coimbatore-115362
Amminis,https://www.swiggy.com/restaurants/amminis-sai-baba-colony-saibaba-colony-coimbatore-65607
Ammulus,https://www.swiggy.com/restaurants/ammulus-avarampalayam-road-illango-nagar-coimbatore-219505
Amruth pure veg,https://www.swiggy.com/restaurants/amruth-pure-veg-gandhipuram-coimbatore-430340
Amul Parlour,https://www.swiggy.com/restaurants/amul-parlour-coi-ganapathy-ganapathypudur-coimbatore-158762
Amul Parlour,https://www.swiggy.com/restaurants/amul-parlour-saravanampatti-coimbatore-158760
Ananth Bhavan,https://www.swiggy.com/restaurants/ananth-bhavan-rs-puram-r-s-puram-west-coimbatore-58337
Anbu  Mess,https://www.swiggy.com/restaurants/anbu-mess-gandhipuram-3rd-cross-coimbatore-66006
ANDEYWALA,https://www.swiggy.com/restaurants/andeywala-saravanampatti-coimbatore-280326
ANDHRA HOME FOOD,https://www.swiggy.com/restaurants/andhra-home-food-saravanampatti-coimbatore-377118
Annai Biriyani Centre,https://www.swiggy.com/restaurants/annai-biriyani-centre-gandhipuram-coimbatore-397564
Annalakshmi,https://www.swiggy.com/restaurants/annalakshmi-race-course-gopalapuram-coimbatore-50879
Annam Foods,https://www.swiggy.com/restaurants/annam-foods-ramanathapuram-kallimadai-coimbatore-96339
Annapoorani stall,https://www.swiggy.com/restaurants/annapoorani-stall-ukkadam-pulian-thoppu-coimbatore-322150
Annavilaas,https://www.swiggy.com/restaurants/annavilaas-rs-puram-gopalapuram-coimbatore-50740
Annavilaas.,https://www.swiggy.com/restaurants/annavilaas-rs-puram-r-s-puram-west-coimbatore-50874
